key,en,ru,context,notes
ui.common.back,Back,Назад,Generic back button used across screens,
ui.common.close,Close,Закрыть,Generic close button used in popups,
ui.common.buy,Buy,Купить,Generic buy button used in shop tiles,
ui.common.retry,Retry,Повторить,Generic retry button,
ui.common.next,Next,Далее,Generic next button,
ui.common.menu,Menu,Меню,Generic menu button,
ui.common.play,Play,Играть,Generic play button,
ui.common.settings,Settings,Настройки,Generic settings label,
ui.common.shop,Shop,Магазин,Generic shop label,
ui.common.levels,Levels,Уровни,Generic levels label,
ui.common.gold,Gold: {gold},Золото: {gold},Wallet gold display with placeholder,
ui.common.gems,Gems: {gems},Гемы: {gems},Wallet gems display with placeholder,
ui.main.play,Play,Играть,MainMenu Play button,
ui.main.level_select,Level Select,Выбрать уровень,MainMenu Level Select button,
ui.main.shop,Shop,Магазин,MainMenu Shop button,
ui.main.settings,Settings,Настройки,MainMenu Settings button,
ui.shop.tab.boosters,Boosters,Бустеры,ShopScreen Boosters tab label,
ui.shop.tab.gems,Gems,Гемы,ShopScreen Gems tab label,
ui.shop.tab.bundles,Bundles,Пакеты,ShopScreen Bundles tab label,
ui.shop.tab.offers,Offers,Предложения,ShopScreen Offers tab label,
ui.shop.feedback.purchased,Purchased!,Куплено!,ShopPurchaseFormatter success message,
ui.shop.feedback.not_enough_gold,Not enough gold,Недостаточно золота,ShopPurchaseFormatter gold shortfall message,
ui.shop.feedback.not_enough_gems,Not enough gems,Недостаточно гемов,ShopPurchaseFormatter gems shortfall message,
ui.shop.feedback.payment_not_connected,Payments are not connected yet,Платежи пока не подключены,ShopPurchaseFormatter payment unavailable message,
ui.shop.feedback.item_unavailable,Item unavailable,Товар недоступен,ShopPurchaseFormatter invalid item message,
ui.shop.feedback.purchase_failed,Purchase failed,Покупка не удалась,ShopPurchaseFormatter generic failure message,
ui.game.level,Level {level},Уровень {level},GameScreen HUD level label with placeholder,
ui.game.moves,Moves: {moves},Ходы: {moves},GameScreen HUD moves label with placeholder,
ui.game.menu,Menu,Меню,GameScreen HUD menu button,
ui.game.hp_value,{current} / {max},{current} / {max},Enemy panel HP value with placeholders,
ui.result.win,Victory,Победа,Result overlay victory title,
ui.result.lose,Defeat,Поражение,Result overlay defeat title,
ui.result.retry,Retry,Повторить,Result overlay retry button,
ui.result.next,Next,Далее,Result overlay next button,
ui.result.menu,Menu,Меню,Result overlay menu button,
ui.result.reward.unlocked_next_level,Unlocked next level,Открыт следующий уровень,Result overlay unlock-level reward line,
ui.result.reward.gold,+{gold} Gold,+{gold} золота,Result overlay gold reward line with placeholder,
ui.result.reward.booster,Random booster received,Получен случайный бустер,Result overlay booster reward line,
ui.lose_continue.title,Defeat,Поражение,LoseContinuePopup title,
ui.lose_continue.description,Continue with a booster?,Продолжить с бустером?,LoseContinuePopup description text,
ui.lose_continue.watch_ad,Watch Ad,Смотреть рекламу,LoseContinuePopup watch ad button,
ui.lose_continue.buy_moves,Buy Moves,Купить ходы,LoseContinuePopup buy moves button,
ui.lose_continue.close,Close,Закрыть,LoseContinuePopup close button,
ui.lose_continue.not_enough_gems,Not enough gems,Недостаточно гемов,LoseContinuePopup gem shortfall feedback,
modifier.damage_color,Damage color: {color},Цвет урона: {color},Modifier description with color placeholder,
modifier.match_size_damage,Match size damage,Урон за размер комбо,Modifier description,
modifier.extra_moves,+{moves} extra moves,+{moves} доп. ходов,Modifier description with moves placeholder,
color.red,Red,Красный,Generic color name,
color.blue,Blue,Синий,Generic color name,
color.green,Green,Зелёный,Generic color name,
color.yellow,Yellow,Жёлтый,Generic color name,
color.purple,Purple,Фиолетовый,Generic color name,
ui.settings.title,Settings,Настройки,SettingsScreen title label,
ui.settings.animations,Animations,Анимации,SettingsScreen animations toggle label,
ui.settings.reduced_motion,Reduced Motion,Уменьшенная анимация,SettingsScreen reduced motion toggle label,
ui.settings.music,Music,Музыка,SettingsScreen music toggle label,
ui.settings.sound_effects,Sound Effects,Звуковые эффекты,SettingsScreen sound effects toggle label,
